-113.998818,51.286115,"TIM HORTONS [dt-yes] [wifi-yes]-Airdrie,AB","185 East Lake Cres, Airdrie,AB T4A 2H7, (403) 912-1230|RESTAURANT #101663"
-114.00633,51.3007599,"TIM HORTONS [dt-yes] [wifi-no]-Airdrie,AB","204 Veterans Blvd NE, Airdrie,AB T4B 3P2, (587) 775-2212|RESTAURANT #104839"
-114.008555,51.269514,"TIM HORTONS [dt-yes] [wifi-yes]-Airdrie,AB","2649 Main St S, Airdrie,AB T4B 2V7, (403) 948-0119|RESTAURANT #102736"
-114.00408,51.26233,"TIM HORTONS [dt-no] [wifi-no]-Airdrie,AB","2881 Main St SW, Airdrie,AB T4B 3G5, (403) 948-1373|RESTAURANT #103195"
-113.99436,51.27029,"TIM HORTONS [dt-yes] [wifi-no]-Airdrie,AB","900 Market St. SE, Airdrie,AB T4A 0K9, none listed|RESTAURANT #104938"
-115.57527,51.17968,"TIM HORTONS [dt-no] [wifi-yes]-Banff,AB","100 Gopher St, Banff,AB T0L 0C0, (403) 762-8701|RESTAURANT #103648"
-113.42846,53.355448,"TIM HORTONS [dt-yes] [wifi-yes]-Beaumont,AB","2802 60th St, Beaumont,AB T4X 0H5, (780) 929-7333|RESTAURANT #103609"
-113.415226,53.360418,"TIM HORTONS [dt-yes] [wifi-yes]-Beaumont,AB","5900-50th St, Beaumont,AB T4X 1T8, (780) 929-9451|RESTAURANT #102691"
-113.78792,52.382001,"TIM HORTONS [dt-yes] [wifi-yes]-Blackfalds,AB","6017 Parkwood Rd, Blackfalds,AB T0M 0J0, (403) 885-7776|RESTAURANT #104520"
-114.463836,49.619774,"TIM HORTONS [dt-no] [wifi-yes]-Blairmore,AB","10500 20th Ave, Blairmore,AB T0K 0E0, (403) 562-7770|RESTAURANT #102991"
-110.723585,54.270765,"TIM HORTONS [dt-no] [wifi-yes]-Bonnyville,AB","5401 43 Street, Bonnyville,AB T9N 2P1, (780) 826 3364|RESTAURANT #103555"
-111.901819,50.569752,"TIM HORTONS [dt-no] [wifi-yes]-Brooks,AB","#100 708 4ST SW, Brooks,AB T1R 0B2, (403) 362-6049|RESTAURANT #104004"
-111.897,50.5852,"TIM HORTONS [dt-no] [wifi-yes]-Brooks,AB","1315 Second Street W, Brooks,AB T1R 0V5, (403) 362-2077|RESTAURANT #102146"
-114.048006,51.010507,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","100 - 723 46 Ave SE, Calgary,AB T2G 2A4, (403) 243-7028|RESTAURANT #102262"
-114.069433,51.125526,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","100 Beddington Blvd NE, Calgary,AB T3K 200, (587) 296-3242|RESTAURANT #105207"
-114.069433,51.125526,"TIM HORTONS [dt-no] [wifi-yes]-Calgary,AB","100 Beddington Blvd NE, Calgary,AB T3K 200, (587) 296-3242|RESTAURANT #105027"
-114.0363392,50.8769556,"TIM HORTONS [dt-yes] [wifi-no]-Calgary,AB","100 Walden Gate, Calgary,AB T2X 0R2, (403) 873-6870|RESTAURANT #104937"
-114.07072,51.048577,"TIM HORTONS [dt-no] [wifi-yes]-Calgary,AB","101 - 444 5th Ave SW, Calgary,AB T2P 2T8, (403) 398-5444|RESTAURANT #102258"
-114.01344,51.1471,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","10125 19th street N.E., Calgary,AB T3J 3P9, none listed|RESTAURANT #105393"
-114.071703,51.042826,"TIM HORTONS [dt-no] [wifi-yes]-Calgary,AB","1015 4th St. SW, Calgary,AB T2R 1J4, (403) 265-6345|RESTAURANT #104377"
-114.084741,50.962594,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","10233 Elbow Dr SW, Calgary,AB T2W 1E8, (403) 255-8700|RESTAURANT #102350"
-114.02551,50.885802,"TIM HORTONS [dt-no] [wifi-yes]-Calgary,AB","103, 10 chaparral Dr SE, Calgary,AB T2X 3R7, (403) 254-6609|RESTAURANT #103906"
-114.07151,50.95796,"TIM HORTONS [dt-no] [wifi-yes]-Calgary,AB","10440 MacLeod Trail SE, Calgary,AB T2J 0P8, (403) 271-6476|RESTAURANT #100330"
-113.9614851,50.9566813,"TIM HORTONS [dt-yes] [wifi-no]-Calgary,AB","10810 50TH ST SE, Calgary,AB T2C 3E6, (403) 570-8258|RESTAURANT #104925"
-114.087214,51.037827,"TIM HORTONS [dt-no] [wifi-yes]-Calgary,AB","1103 17th Ave. SW, Calgary,AB T2T 0B5, (403) 228-9899|RESTAURANT #102832"
-114.03003,50.92721,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","1133 137 Ave SE, Calgary,AB T2J 6Y5, (403) 225-0072|RESTAURANT #101239"
-114.115945,50.954132,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","11472 Braeside Drive S.W, Calgary,AB T2W 4X8, (403) 259-4881|RESTAURANT #103051"
-114.06414,51.04818,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","117 205 5th Ave SW, Calgary,AB T2P 2Y7, (403) 264-1877|RESTAURANT #102754"
-114.03444,51.097308,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","1185 49 Ave NE, Calgary,AB T2E 8V2, (403) 730-0556|RESTAURANT #101747"
-114.14076,51.04234,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","1200 37 St. SW, Calgary,AB T3C 1S2, (403) 246-0003|RESTAURANT #104092"
-114.06119,51.04113,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","1201 1 St SE, Calgary,AB T2G 2H7, (403) 262-5556|RESTAURANT #101547"
-114.089151,51.042147,"TIM HORTONS [dt-no] [wifi-yes]-Calgary,AB","1211 12 Ave SW, Calgary,AB T3C 3S7, (403) 245-0990|RESTAURANT #100320"
-113.9812,51.0615,"TIM HORTONS [dt-no] [wifi-yes]-Calgary,AB","123 - 920 36TH ST NE, Calgary,AB T2A 6L8, (403) 273-0129|RESTAURANT #105266"
-114.1301789,51.1661191,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","12580 Symons Valley Rd NW, Calgary,AB T3P 0A3, (587) 955-9949|RESTAURANT #105325"
-114.08978,51.06667,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","1301 16th AVENUE NW, Calgary,AB T2M 0L4, (403) 210-4448|RESTAURANT #105787"
-114.08978,51.06667,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","1301 16th Avenue South Wing, Calgary,AB T2M 0L4, none listed|RESTAURANT #104055"
-114.02719,51.08138,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","1341 32 Ave NE, Calgary,AB T2E 7Z5, (403) 291-2966|RESTAURANT #100546"
-114.06307,50.93066,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","13615 Bonaventure Dr SE, Calgary,AB T2J 6W5, (403) 271-8887|RESTAURANT #101370"
-114.05337,51.03871,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","1410 Olympic Way SE, Calgary,AB T2G 2W1, none listed|RESTAURANT #105916"
-113.95791,51.06335,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","1440 52 Street, Calgary,AB T2A 0L2, (403) 273-9760|RESTAURANT #103367"
-113.9320784,50.9234922,"TIM HORTONS [dt-no] [wifi-yes]-Calgary,AB","151 Copperpond Boulevard SE, Calgary,AB T2Z 0Z7, (403) 271-2070|RESTAURANT #104276"
-113.98078,50.91686,"TIM HORTONS [dt-yes] [wifi-no]-Calgary,AB","15150 Mt McKenzie Dr SE, Calgary,AB T2Z 2L4, (403) 257-7612|RESTAURANT #101063"
-113.958328,50.994125,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","152 5303 68th Ave SE, Calgary,AB T2P 3K4, (403) 255-1299|RESTAURANT #103656"
-114.06613,50.91458,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","15425 Bannister Rd SE, Calgary,AB T2X 1Z3, (403) 256-3451|RESTAURANT #100533"
-113.93236,50.95595,"TIM HORTONS [dt-yes] [wifi-no]-Calgary,AB","1715 70 STREET SE, Calgary,AB T1X 0L4, (587) 296-5181|RESTAURANT #103776"
-114.06276,51.06404,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","177- 1323 Center St N, Calgary,AB T2E 2R5, (403) 277-0088|RESTAURANT #103785"
-114.12858,51.06914,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","1820B Uxbridge Dr NW, Calgary,AB T2N 3Z1, (403) 284-0349|RESTAURANT #100564"
-114.0112256,51.1335654,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","2000 Airport Rd NE, Calgary,AB T2E 6W5, (403) 221-1786|RESTAURANT #102693"
-114.0112256,51.1335654,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","2000 Airport Rd NE, Calgary,AB T2E 6W5, (403) 221-1786|RESTAURANT #100845"
-114.010266,51.09414,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","2021 Pegasus Rd NE, Calgary,AB T2E 8C3, (403) 250-3395|RESTAURANT #100300"
-113.93478,51.05291,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","220 68 St NE, Calgary,AB T2A 6P7, (403) 272-4868|RESTAURANT #101062"
-114.06595,51.04825,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","222 205 5TH AVE SW, Calgary,AB T2P 2V7, (403) 288-5267|RESTAURANT #105265"
-114.06729,51.04637,"TIM HORTONS [dt-no] [wifi-no]-Calgary,AB","225 7th Ave SW, Calgary,AB T2P 2W3, (403) 262-9330|RESTAURANT #103075"
-114.08692,51.16349,"TIM HORTONS [dt-yes] [wifi-yes]-Calgary,AB","225 Panatella Hill NW, Calgary,AB T3K 0S6, (403) 250-7075|RESTAURANT #103678"
